,0,text,2,toxic
27,facebook_corpus_msr_334533,He would be a lone boss with all the supporters shifts with kejriwal.,NAG,0
29,facebook_corpus_msr_417581,"Only 13 % of jio customers converted into prime, so they extended d date😁",NAG,0
33,facebook_corpus_msr_416461,POSITIONAL BUY JPASSOCIATE ON EVERY DECLINE 13.00-10.50-7.50-5.50 FOR TARGET 36 AND 56 (TIME FRAME 2-3 YEARS),NAG,0
38,facebook_corpus_msr_427865,Hi Anuj brought  divis to days at 710 what to do and Tata motor dvr 275 any target,NAG,0
41,facebook_corpus_msr_406854,"I know you people of Nagaland

And Meghalaya hate bjp

But its the truth

2 lok sabha seats from those 2 states can't stop bjp

Assam and arunachal yes it matters

But these states are becoming strongholds of bjp day by day
Including Manipur

Tripura

And sikkim",NAG,0
48,facebook_corpus_msr_470955,please advice about Bank nifty & how the NPA will benefit for PSU Banks ?,NAG,0
49,facebook_corpus_msr_443467,Plz share ur view on astec life??  Bought at 675,NAG,0
50,facebook_corpus_msr_325898,We should use offensive defensive strategy doctrine.learn lessons from Israel ..and give free hand to security forces and covert missions inside pak to bleed Pakistan.,NAG,0
53,facebook_corpus_msr_325748,"India must prevent Pak soldiers to cross LOC and their coming into India stealthily at all cost. For that purpose we should use bullets liberally. At the same time, India should also slap a trade embargo on Pakistan, and urge and  convince the US and other powerful nations to introduce economic sanctions against Pakistan for an indefinite period. Then only this terrorist state would be brought down to its knees.",NAG,0
55,facebook_corpus_msr_497389,"On the other hand Reliance Jio is giving for 3k - 3 months subscription to Unlimited calling (STD, Roaming), Unlimited 4G (this means actual 4G speed).  Oh and wait, they extended this plan from 3 months to 4 for the early customers. 
Airtel has got to lower their 4G/3G rates. For 1599 just 5GB internet? :|",NAG,0
56,facebook_corpus_msr_443134,Mistry has to substantiate wrong doing by Tata Sons: Tata Counsel,NAG,0
57,facebook_corpus_msr_484280,what is the view on suzlon energy in view of the purchase by canadian solar,NAG,0
58,facebook_corpus_msr_394729,Baba always wants to encash the emmotional  atmosphere hes lost his sheen drastically dramatically.,NAG,0
60,facebook_corpus_msr_2115215,Please don't lose the series.. It'll be Shameful to lose against this Australian team at home...,NAG,0
61,facebook_corpus_msr_1945575,Well said,NAG,0
62,facebook_corpus_msr_426286,India has become a leading country in mobile data usage: Mukesh Ambani,NAG,0
63,facebook_corpus_msr_2041603,Agreed.,NAG,0
69,facebook_corpus_msr_1804793,Mohit Soni this is reality bro please read carefully,NAG,0
70,facebook_corpus_msr_495526,"5 lakh to both(unbiased approach) regardless of rank of medal👍👍, proud to be a footballer😐",NAG,0
73,facebook_corpus_msr_482473,"----Majority of Kashmiris are pro-India but are unable to assert effectively in order to bring normalcy in Kashmir hence on invitation I will be going to Kashmir where with all the pro-India Kashmiris we (through political movement) will try to bring normalcy in Kashmir and also to solve Kashmir problem as mentioned at:-

http://aapress.com/ethnicity/indian/another-opportunity-to-solve-kashmir-problem/  OR

http://www.alwihdainfo.com/Another-opportunity-to-solve-Kashmir-problem_a43528.html  OR

http://www.pakistanchristianpost.com/letterdetails.php?letterid=790 OR

https://groups.yahoo.com/neo/groups/kashmir-global-network/conversations/messages/50215 

Regards

Email: hemraj_jain@yahoo.com",NAG,0
77,facebook_corpus_msr_334498,Why don't you compare the five worst riots post Independence and let's know where he faltered more than the Congress CMs of the other riot hit states,NAG,0
78,facebook_corpus_msr_322442,"I remember Japanese fan doing that during last FIFA world cup, now am wondering if Mizo's are decedent's of Japanese during World War II in famous battle of Kohima between Britishers and Japs 😝😝😝
P.s. Pun intended",NAG,0
79,facebook_corpus_msr_502844,When is work on NH-8 getting completed? Particluarly Hero Honda Chowk??,NAG,0
89,facebook_corpus_msr_461576,"Amma will always remain in our Hearts
May her noble soul Rest in peace.",NAG,0
90,facebook_corpus_msr_1455347,i like,NAG,0
93,facebook_corpus_msr_470839,What about Tata motors.. Has there been over reaction.. What's your view,NAG,0
96,facebook_corpus_msr_457396,Anuj and Porinju of the view that markets will make a new high before the budget,NAG,0
101,facebook_corpus_msr_322423,r u guys from dis university? Gaurav Seth PJ Anshu Mishra Shubham Singh,NAG,0
102,facebook_corpus_msr_2115208,It's alright. We lost a match not the series. Losing & winning is part of the game you can't always win every game. You win some. you lose some.,NAG,0
104,facebook_corpus_msr_487733,Do you see nifty hitting all time highs within this expiry??,NAG,0
106,facebook_corpus_msr_394667,"Let us accept the fact that We have a mini Pakistan here & many pro Pakistani anti national elements exists within the country. Which are being funded by enemy countries to weaken the integrity,peace & security of the nation by the help of few heavyweight traitors in politics. Be it in North- east, Kashmir or Hyderabad as long as a large section of fringe elements for their short term political or monetary gains prefer to destabilize the economy or national integrity following the support of external forces, resolving the issue of Pakistan or China will  be a distant dream for Mr Modi & his associates. Unless the rotten fishes are taken out from the pond we cannot expect a clean system.",NAG,0
109,facebook_corpus_msr_1775238,Congratulations!,NAG,0
110,facebook_corpus_msr_1804874,"11000 or 11 Lakh. In the end, truth prevails and the truth is that Kejriwal delivers! Period!!",NAG,0
112,facebook_corpus_msr_490983,"would like to know on Welspun india, REC, Wockhardt, GATI, and Metalyst",NAG,0
114,facebook_corpus_msr_401411,"Guys.. how long we bear this nussiance. Are we so weak that we cannot give a befitting reply,,😡😡😡😡",NAG,0
116,facebook_corpus_msr_480888,"jokes are made very seriously , this is indian way of doing business -fear of uncertainty",NAG,0
119,facebook_corpus_msr_483459,We will see a new battle btwn Tata sons and shapoorjees..,NAG,0
120,facebook_corpus_msr_1818436,Mens blame .daily soaps for women s .mental violence against men,NAG,0
121,facebook_corpus_msr_334831,"And there was a time when we had Congress both at the state and at the centre, 15 years in Assam and 10 years at the centre, and most importantly a PM nominated from Assam!",NAG,0
123,facebook_corpus_msr_332833,"Yes, Antonio..for us, God is within us. So everything/everyone is a manifestation of God to the followers of the Sanatana Dharma.",NAG,0
131,facebook_corpus_msr_483354,But it's a big decision and TATA need to clear the air.,NAG,0
132,facebook_corpus_msr_423044,Hello anuj sir your views on just dial after this rally will this continue or profit booking,NAG,0
133,facebook_corpus_msr_2035898,"You are the best of all...💞 
Our Cutiepie...
All the best 😊 for your film 🎥 #PHILLAURI...💕",NAG,0
134,facebook_corpus_msr_470956,please advice about Bank nifty & how the NPA will benefit for PSU Banks ?,NAG,0
137,facebook_corpus_msr_473742,Correption made essy becouse  2000rs note are big amount as compaire to 500rs and 1000rs.,NAG,0
138,facebook_corpus_msr_2111406,"Please leave this secular stands, do something good to society",NAG,0
139,facebook_corpus_msr_407584,In mumbai too many top politician will pray for his health,NAG,0
148,facebook_corpus_msr_457196,"Thanks for acknowledging, I'm a Chelsea fan though so I'm happier than you too! :)",NAG,0
151,facebook_corpus_msr_432276,Pm is lair means den u lair nd u praying god also lai,NAG,0
153,facebook_corpus_msr_425103,please comment on rain industry  regarding today stellar result,NAG,0
154,facebook_corpus_msr_455612,Royal Enfield is icon... its not possible to shake image,NAG,0
155,facebook_corpus_msr_503326,Bank of England is ready to infuse £250bn of additional funds into the economy to help it tide over the economic crisis likely to be caused by Brexit.,NAG,0
156,facebook_corpus_msr_331191,So called #GauRakshaks..... Claim that they r protecting 🐄 in d mother #Gaumata.... And dese #Gundaz sell der mother in d market...#Export der mother to the other countries.... when shes of no use for them...... #Shame on dese #Bhakts....,NAG,0
164,facebook_corpus_msr_466200,Will metals rally for sometime now,NAG,0
166,facebook_corpus_msr_438540,"Really Mr. Jack, then Plz reveal how much black money is destroyed, banks received around 99.8% of 1000, 500 notes back in accounts then where is the black money.",NAG,0
169,facebook_corpus_msr_1775210,"Haha, so 60 years no development, only loot !!! Good you accept now !!",NAG,0
174,facebook_corpus_msr_346512,"�

 ♥PYTHON♥BOT♥TEAM♥

♪----» TAYYAB-XD.TK «----♪

♥♡o. BOT OWNER 💢 TAYYAB KHAN 💢",NAG,0
176,facebook_corpus_msr_1805717,No,NAG,0
178,facebook_corpus_msr_1937577,Mr. Kunder correct your facts. Prove it he is goon.,NAG,0
181,facebook_corpus_msr_451805,For maintenance bajaj will keep the bike and you have to get it from the workshop when u need it,NAG,0
183,facebook_corpus_msr_469423,you mean investment made with relations and friends of the above,NAG,0
186,facebook_corpus_msr_425691,Jio Effect. Its like Modi { Jio } and rest all.,NAG,0
190,facebook_corpus_msr_470849,This is time invest in bank stock specially SBI & Icici?,NAG,0
192,facebook_corpus_msr_1716154,If i live in the country where mob behaves like this and have licence to kill then i feel shame...by ur logic..taliban is also right who stone to death people...,NAG,0
198,facebook_corpus_msr_420674,"Transformational and reinventing sustainable India. Also, rebuilding credibility of core Hindu value of live and let live with mutual respect for all.",NAG,0
199,facebook_corpus_msr_1525114,Kashmiris also not against people of india but Indian occupation,NAG,0
201,facebook_corpus_msr_430523,Cnbc tv 18  knocks out  competion  on BUDGET  congrats,NAG,0
204,facebook_corpus_msr_1599828,hope car occupants are safe and unharmed.,NAG,0
205,facebook_corpus_msr_469906,"Hello, what will be Sun pharma in short term and long term?",NAG,0
206,facebook_corpus_msr_382123,Tit for tat in the same way....modi request u to plz do action asap...,NAG,0
209,facebook_corpus_msr_430440,"It is remain to be seen how INC (UP-UTTARAKHAND-MANIPUR) will  attract FIRST TIME highly tech savy voters towards the INC as spikes in the recent UP poll pc points to the massive participation of this section in the poll. Moreover, MANN KI BATE directly points to this section relentlesly✔",NAG,0
210,facebook_corpus_msr_452509,I want to upgrade from my 180 CC to 400CC,NAG,0
211,facebook_corpus_msr_418425,tech mahindra down nd other it stock up like tcs infy wipro..,NAG,0
213,facebook_corpus_msr_456078,Its like duke 390 why they took so much time to launch it.  Just give a name & changing some out look & reduce price ????,NAG,0
214,facebook_corpus_msr_1805657,No respect for him now,NAG,0
221,facebook_corpus_msr_494038,A true legend... simply unparalleled... kudos to the greatest philanthropist...,NAG,0
224,facebook_corpus_msr_503340,Isro copied my face book technology ---as simple as that,NAG,0
225,facebook_corpus_msr_2280155,Well Kuwait is an American colony isnt it?,NAG,0
226,facebook_corpus_msr_503001,This time your post is much more positive then previous one Sir @udayan mukherjee :D,NAG,0
233,facebook_corpus_msr_325392,"Name any minister or MLA/MP whose son is working in ARMY/BSF/CRPF or has sacrificed their lives for the nation while serving at the border?
2. Name any minister or MLA/MP whose children are going to government schools?
3. Name any minister or MLA/MP whose family is treated in common government hospitals and not big private hospitals?
4. Name any minister or MLA/MP whose children do not own big luxurious cars/homes millions of rupees?
5. Name any minister or MLA/MP whose family has not visited abroad on taxpayer’s money?
6. Name any minister or MLA/MP whose family do not stay in 5 star hotels when they visit other states within the country. 
7. Name any minister or MLA/MP whose family couldn’t get a railway or plane ticket even an hour before. 
There is a big such list. They can make us fool by saying all people are equal, but the reality is what we all know and experience.",NAG,0
236,facebook_corpus_msr_421068,"Hi Anuj, can I have your view on Balkrishan Industries and Sun Pharma.",NAG,0
238,facebook_corpus_msr_429353,Sir you have open the doors of competition in the telecom market... Good bless you..,NAG,0
240,facebook_corpus_msr_408895,Is actually Kassab hanged and died natural death out of Dengue? We have doubt and govt should release video evidence to prove that Kassab was actually hanged.,NAG,0
241,facebook_corpus_msr_233887,First of all finish these so called intellectual who are supporting anti-national,NAG,0
242,facebook_corpus_msr_334503,"Please don't change, kujliwal is needed for BJP just like Rahul Gandi",NAG,0
243,facebook_corpus_msr_469411,it's 2PM already  but program is still not aired.,NAG,0
244,facebook_corpus_msr_327049,Why Linux is free and virus proof? Why microsoft windows so expensive? Why it is not virus proof.? Why all PC manufaturers prefer microsoft windows over linux ?,NAG,0
247,facebook_corpus_msr_470272,You are great n no doubt we are with you,NAG,0
249,facebook_corpus_msr_397429,Pakistan is sending dead bodies to India .. :D like yesterday attack,NAG,0
250,facebook_corpus_msr_435319,"Invested in technology to secure transactions, differentiate bank from other players: Shikha Sharma",NAG,0
251,facebook_corpus_msr_1692633,"In graduation there is a sub.  Of Political science. If u knw thn this pist opinion poll playing very important role in terms of propaganda, to set people mind.",NAG,0
254,facebook_corpus_msr_424603,Revenue projections have to be owned by minister irrespective of projections that is given by industry. That is the only perspective. He should think of scenario building and contingencies in case projections. That is the business perspective. He has to get beyond of self glorification and just own up his budgets,NAG,0
257,facebook_corpus_msr_436417,Could you Ask Vishal on his Views on Automation and Artifical Intelligence on how to reskill people,NAG,0
258,facebook_corpus_msr_416595,"mah govt itself is at loss of 25-30% annual revenue, plus this will increase unemployement, they are planning to rope in some km area of highway under concerned municipal dept, bars and shops in mumbai are already working. Everyone knows govt will litreally go bankrupt without this industry such is the revenue from it",NAG,0
263,facebook_corpus_msr_469975,"It takes quite a while for mkts to consolidate. If u want cash immediately, get married to someone in the Q and avail Rs. 2.5 lakhs cash. Don't forget to invite Bank Branch Manager for the wedding to enable confirmation!!!",NAG,0
265,facebook_corpus_msr_495115,How come all the script that's mention on cnbc 20/20 never makes it tht,NAG,0
268,facebook_corpus_msr_1805619,Yes,NAG,0
271,facebook_corpus_msr_327846,"Pakistan on Monday rejected India's accusation that it killed two soldiers in ""unprovoked"" firing and mutilated their bodies near the Line of Control in Jammu and Kashmi #drama",NAG,0
272,facebook_corpus_msr_325902,"In other words, Indian Army is saying Pakistani soldiers went across the LoC into Indian side, Mutilated the bodies of two Indian soldiers and came back while no one on the Indian side dared them engage. 😂😂",NAG,0
273,facebook_corpus_msr_437780,What was the reason to see upswing in power sector today,NAG,0
274,facebook_corpus_msr_1521771,He compared it with regard to infant mortality. Having 100% literacy rate doesn't give right to kill infants.,NAG,0
275,facebook_corpus_msr_470169,Do some research and ground work.. dude.. media is not giving correct pic.. more than 80% Indian support modi's decision..,NAG,0
276,facebook_corpus_msr_483630,Shares prices of Tata sons is going to be  increased,NAG,0
278,facebook_corpus_msr_429271,"Jio - A change ,aweaome jio ,slap to idea airtel",NAG,0
279,facebook_corpus_msr_332813,"You proved yourself your mentality.
Read comment , understand intellectually.
If you don't have any knowledge about visual technology. U should nt novice comment
I don't comment about scripts .",NAG,0
287,facebook_corpus_msr_442405,Transfer fee is the additional backfire on Existing Monthly Budget.......,NAG,0
289,facebook_corpus_msr_429182,So humble you are Mukesh Ambani.. your  pieces about Entrepreneurs  should inspire a generation.. 🙏👍👌,NAG,0
290,facebook_corpus_msr_332724,We actually need strict application of laws for such senseless drivers ..,NAG,0
291,facebook_corpus_msr_487651,whether Q2 expected to be good for bank stocks  Q2 result start from South indian bank tomorrow,NAG,0
292,facebook_corpus_msr_397493,Tum logo ko swapndosh ki bimari h isme kisi ki problem ni h.2 tukde to ho gye ab kya chah rhe ho 10 12 ho.,NAG,0
294,facebook_corpus_msr_490963,I remembered the scene in OMG!! where Paresh Rawal describe the same scene as this news,NAG,0
295,facebook_corpus_msr_332772,"Bot On Fire 💙 Powered By 💙 Md Adnan 💙 

Self Site <3 Faxt.tk <3
Site By 💚 Usama Ahmad 💚",NAG,0
298,facebook_corpus_msr_1775205,"No other state has developed as Karnataka.. check the number of companies that are opening their over seas branch in blore.  QATAR AIRWAYS also starting local airline with base as blore...

Siddu  has got dreams to blore in his sleep.....",NAG,0
301,facebook_corpus_msr_422992,tell you  one thing your succession is after your boss resignation ...am i correct or wrong ...,NAG,0
303,facebook_corpus_msr_327926,Well way to go for patriarchalism... We dont need a reason for a war or battle... We just need to be oblivious... It will happen on its own,NAG,0
305,facebook_corpus_msr_426051,Happy? I hate this corruption & modi said he would remove it but will fail. That is what I meant. The politicians & officials are corrupt to the corr. All of us suffer.Demomonetizatio will do nothing against it.,NAG,0
306,facebook_corpus_msr_397452,"True China don't need militants , the ace product of this terrorist state ...",NAG,0
309,facebook_corpus_msr_418306,That's good I welcome GST people have to be paid tax and so tax money spent on Indian economy 😀,NAG,0
313,facebook_corpus_msr_2041604,#Karanjohar better look at it,NAG,0
316,facebook_corpus_msr_468227,If true this is what India needs. Innovative and creative. NOT whining ranting complaining and self destructive paranoid comments,NAG,0
318,facebook_corpus_msr_455858,There is no comparison with RE...  It's baap of all bike's..,NAG,0
319,facebook_corpus_msr_1805496,Paid Media +RSS+BJP + Anna V/S Imaandaar Kejriwaal,NAG,0
321,facebook_corpus_msr_422915,"On the occasion of International women's day,  I congratulate to all women of the world and wish them a very happy, healthy, progressive  and bright future. Let we all respect  the  women for their key role in the society as well as their directly and indirectly contribution for overall developments of the nation.Happy Women's day.. feel the power of Naari Shakti..",NAG,0
328,facebook_corpus_msr_371249,"Part time online job without investment 
Most important job for Facebook expert 
Earn 15000-25000/-month 
Open play store 
Install champcash mony free app
Sign up with champcash 
Refer id-12935304
Install 7-8 apps in the champcash and start online work",NAG,0
333,facebook_corpus_msr_412827,misuse ....aadhar should not be used as a card for identity proof -strictly,NAG,0
334,facebook_corpus_msr_490327,Sir to ask 1 more question...what is keeping Irb infra buzzing..is its IPO round the corner ?,NAG,0
338,facebook_corpus_msr_334857,Congress has to elect pradip bhattacharya to the RS during the same period from West Bengal..,NAG,0
340,facebook_corpus_msr_469037,"Bank nifty cracked today,  where are we going now",NAG,0
341,facebook_corpus_msr_325910,We make  issue and do ninda. We do not take any strong stand against it. Why we have deal with many countries when we can not use our arms  for this situation. Are we waiting for them to come and do the same to civilian.,NAG,0
348,facebook_corpus_msr_495484,"All the money announced, I doubt they will ever get it....it has happened in the past so many times...",NAG,0
353,facebook_corpus_msr_2280137,...But  why India is not doing it ...?,NAG,0
355,facebook_corpus_msr_1521688,Grt speaking with you dude.....tc,NAG,0
356,facebook_corpus_msr_1804847,Satnam Singh  joke of the year. Gi to delhi . Work speaks more than mouth,NAG,0
357,facebook_corpus_msr_431223,Hope people of my country understand his vision for our motherland India. We support you sir.👍,NAG,0
360,facebook_corpus_msr_399393,"This is surgical  strike from Pakistan.  Indian forces should enter Pak where their bases are,strike and do not vacate their territory.Reguarly Indian forces should do heavy firing along various Pak positions.  Be offencive than defencive.",NAG,0
364,facebook_corpus_msr_469101,Yes women's must be given more powers and rights. Let's change the nation.,NAG,0
365,facebook_corpus_msr_417316,We have followed the notification & not done any stock up of BS3 inventory: Pawan Goenka,NAG,0
369,facebook_corpus_msr_415139,"i am salaried, also working with LIC as advisor, which ITR should i be filing ??",NAG,0
370,facebook_corpus_msr_1804814,Perfect,NAG,0
374,facebook_corpus_msr_505707,"first decrease taxes and increase tax net.cover each and every one to pay minimum taxes. First catch politicians neta they have lots of monies,catch govt officials and bureaucrats,catch custom & excise people right from peon to top people, catch police people they too have lots of monies, catch sales and income tax people right from peon to commissioners.they have looted India.catch municipality right from peon to municipality commissioners they too have minted lots of monies.catch peons because all setting is done by PEONS.catch railway people they too minted lots of monies.catch STATE OWNED BANKS officials they too mint lots of monies.Indians are intelligent in cheating and minting monies in most unethical manners.not all but majority. We can leave behind WORLD BANK AND IMF.catch temples they too have lots of cash and gold.if you want more feedback I will give provide me your email I'd.I feel 35 CRORES INDIANS MUST PAY DIRECT OR INDIRECT TAXES. FIRST CATCH THIS CORRUPT NETAS........AND CONTROL THEM, REST WILL FALL IN LINE.....",NAG,0
384,facebook_corpus_msr_2280150,thank you Mr. Eric. I am jayesh from President of India,NAG,0
387,facebook_corpus_msr_436037,With just agriculture we can live and die our entire lifetime,NAG,0
389,facebook_corpus_msr_334302,@ Neel Patel...   Glad to know dat   ur kindof  ppl  still  exists ... Stay blessed,NAG,0
390,facebook_corpus_msr_1681219,President Xi Jinping has prioritised advancing China's space programme to strengthen national security.,NAG,0
391,facebook_corpus_msr_1692574,BJP running MCD for ten years.  If people still vote for BJP that means they feel that nobody else can manage it better and the present state of Delhi is the max standard we can achieve.,NAG,0
393,facebook_corpus_msr_470310,Person who is haveing black money only crying not people like us,NAG,0
394,facebook_corpus_msr_488853,We have a RBI policy on Monday. Ur take on tit.,NAG,0
397,facebook_corpus_msr_465090,Please go to rural area and see the facts. Life is very slow in rural area. Come out of AC room and see reality,NAG,0
399,facebook_corpus_msr_487585,I am holding Punj Lloyd for quite a long time now. Bought it around 45/share. Should I continue to hold it ?,NAG,0
400,facebook_corpus_msr_430619,"I am looking for a job, a videographer.
E-mail me to my mail for a constructive dialogue.
videosportmoto@rambler.ru",NAG,0
404,facebook_corpus_msr_394715,"Why he is calling to other comes and try yourself will get answer don't say to other
Ramdav come yourself",NAG,0
408,facebook_corpus_msr_418662,What really happened in INFIBEAM today  highly volatile today?,NAG,0
410,facebook_corpus_msr_335310,@ Devendra Singh this is another possible positive to share,NAG,0
413,facebook_corpus_msr_326387,"my Bharat  buzy in dealing with  tirple talak,cow ,Muslim",NAG,0
415,facebook_corpus_msr_394809,"Why we have to west time.
Scrap LOC Ceasefire accord's 2014 NDA . Start surgical strike.",NAG,0
416,facebook_corpus_msr_422226,"Bjp is not hindu raj, but only possible raj now.",NAG,0
419,facebook_corpus_msr_1805684,Because you all ready in BJP,NAG,0
420,facebook_corpus_msr_489969,means brain is shared-real fact ..... thanks for sharing -cnbc,NAG,0
422,facebook_corpus_msr_1521816,No not at all mentioning you mate. I never had any Muslims harass me for eating pork.,NAG,0
423,facebook_corpus_msr_502843,Will we see a day when there will be no private vehicles and only public transportation for the rich and the poor?,NAG,0
425,facebook_corpus_msr_495451,Its called DESERVE when those amounts of rupees are tranferred in there account without any TAXES. If taxes are applied than what is the used of naming the said amount,NAG,0
426,facebook_corpus_msr_401603,"Now time has come to take firm action against pakistan, pl do not seat idle.....public anger....👌",NAG,0
432,facebook_corpus_msr_430498,"Shall I buy/hold holding companies like BBTC,KICL etc for long term",NAG,0
436,facebook_corpus_msr_420681,"He Yogeshwar  THRAI MAM  THRAi MAM , Convent Schools are extracting admission fees of Rs 40, 000 to 10000/ for a simple 1st standard students. Pl do something by making any squad  to control all these cheating habits by missionary administrations. For example & proof St Peter School is asking Rs 42000 admission fee for 1 standard and quarterly fees is additional . Yes , you can stop it.",NAG,0
439,facebook_corpus_msr_1589643,"Not having fully recovered from a hamstring injury, Zaheer Khan is unlikely to feature in Thursday’s encounter",NAG,0
440,facebook_corpus_msr_2039503,Wonder what really is her portfolio under the new dispensation..?,NAG,0
442,facebook_corpus_msr_1616604,No body minds it.,NAG,0
443,facebook_corpus_msr_2241587,*atleast,NAG,0
445,facebook_corpus_msr_452915,Aishwarya Hari Haran because it does not have any quality,NAG,0
451,facebook_corpus_msr_2041641,Saumya Jain,NAG,0
453,facebook_corpus_msr_1521739,Seriously Dude you are lucky to be born in Kerela ..,NAG,0
458,facebook_corpus_msr_332266,"Yes. Heard same things about Kim Jong-un, Joseph Stallion even Adolf Hitler.",NAG,0
464,facebook_corpus_msr_1614027,Hats off to Rajamouli sir for creating this,NAG,0
466,facebook_corpus_msr_437013,Sanjiv Bajaj and Bajaj Finserv is fraud and cheated lot of customers and I am one of the victim. I am filing case against Bajaj finserv in consumer court .,NAG,0
467,facebook_corpus_msr_482820,Anuj teach me a beat the volatility on the expiry day,NAG,0
469,facebook_corpus_msr_424544,"Hi Anuj, your view on Sun Pharma, heard some rumours that a local fund is buying big on this stock",NAG,0
473,facebook_corpus_msr_1945447,What's wrong with man eating from woman's earning?,NAG,0
476,facebook_corpus_msr_327055,Man u want to say thieves are created to get more jobs for police??wow logic.,NAG,0
478,facebook_corpus_msr_432002,You are the best PM in our history we ever have grand salute,NAG,0
479,facebook_corpus_msr_502571,This is Impression going out of India for the new Investor to NRI's and to foreign investor.,NAG,0
482,facebook_corpus_msr_464488,'Economists say rich people either send black money abroad or invest it in real estate or convert it to bullion',NAG,0
483,facebook_corpus_msr_1945592,Why Gorakhpur likes him ?,NAG,0
484,facebook_corpus_msr_327941,"Erdogan visiting nation, mainwhile  Pak  mutilates  2  Indian soldier's bodies .Govt .....    Seeing  their message ??? Why not  close  Pak embassy ???
 Also pls  ask erdogan  what is happening to the Turkey Kurds ?? 
Brutal  murders by  Turkey Army ....
 What about given  the Kurds their land back ??? 
 Let Kashmir not be the  talks on table ,discuss KURDISTAN SETTLEMENT  .",NAG,0
485,facebook_corpus_msr_436207,why are they walking?? what hurry? where do they want to go??,NAG,0
486,facebook_corpus_msr_435104,Will u plz take views Jain irrigation n dvr.. been msging since the start,NAG,0
489,facebook_corpus_msr_1737133,is IE also compromised!!??,NAG,0
490,facebook_corpus_msr_470018,"Well that no. will not be shared, because news channels didn't get paid to show that.",NAG,0
491,facebook_corpus_msr_400213,What kind of media is this!!first they make headlines of indian soldiers being killed by rocket launchers n now about mutilating their dead bodies....this can happen only if Pak army crosses LOC....btw it looks like a #RealSurgicalStrike with evidences on indian media,NAG,0
492,facebook_corpus_msr_1956997,Anti Hindu post,NAG,0
493,facebook_corpus_msr_484277,"Nice to see you all gys , really its going on nice conversations, i wish you happy deepawli :)",NAG,0
494,facebook_corpus_msr_364502,"Part time online job without investment 
Most important job for Facebook expert 
Earn 15000-25000/-month 
Open play store 
Install champcash mony free app
Sign up with champcash 
Refer id-9044274
Install 7-8 apps in the champcash and start online work",NAG,0
495,facebook_corpus_msr_332820,"For me only Money 💰 comes ....that's called real Blessing 😀😀😀.... moral, intellectual are not my focus....",NAG,0
498,facebook_corpus_msr_451853,"Nothing can replace Enfield, it stood the test of time",NAG,0
501,facebook_corpus_msr_1805448,wise man,NAG,0
502,facebook_corpus_msr_1939488,After seeing raees I din't find movie nor actress good :(,NAG,0
503,facebook_corpus_msr_1985370,Hi,NAG,0
504,facebook_corpus_msr_471192,Two bad days... In the long run demonetization is good for the market,NAG,0
508,facebook_corpus_msr_1827727,so that russians can escape from bombing,NAG,0
509,facebook_corpus_msr_395155,"�

 ♥PYTHON♥BOT♥TEAM♥

♪----» TAYYAB.GA «----♪

♥♡o. BOT OWNER 💢 TAYYAB KHAN 💢",NAG,0
512,facebook_corpus_msr_407536,Every one has a date to worry. He was working against this Country as if he may remain in the same spirit for ever.,NAG,0
516,facebook_corpus_msr_2159107,Very good spich,NAG,0
523,facebook_corpus_msr_442466,HERE NO EAR SET BY GODS GRAZE ...THANK YOU GOD--> YOU SAVED ME FROM THIS NURSERY KID,NAG,0
